a52dec 0.7.4-11
accounts-qml-module 0.7-4
accountsservice 22.08.8-2
acl 2.3.1-2
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-icon-theme 42.0+r1+gc144c3d75-1
alacritty 0.10.1-2
alembic 1.8.3-3
alsa-lib 1.2.6.1-1
alsa-plugins 1:1.2.6-3
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.6.3-1
alsa-utils 1.2.6-1
aom 3.3.0-1
arc-gtk-theme 20220405-1
archlinux-keyring 20220424-1
argon2 20190702-4
ark 22.04.1-1
at-spi2-atk 2.38.0-1
at-spi2-core 2.44.1-1
atk 2.38.0-1
attica 5.94.0-1
attr 2.5.1-2
audit 3.0.8-1
autoconf 2.71-1
automake 1.16.5-1
avahi 0.8+22+gfd482a7-3
ayatana-ido 0.9.1-2
babl 0.1.90-2
base 2-2
bash 5.1.016-1
bind 9.18.3-1
binutils 2.38-5
bison 3.8.2-4
blas 3.10.1-1
blender 17:3.1.2-2.1
blosc 1.21.1-2
blueman 2.2.4-1
bluez 5.64-2
bluez-libs 5.64-2
bluez-utils 5.64-2
boost-libs 1.78.0-2
breeze 5.24.5-1
breeze-gtk 5.24.5-1
breeze-icons 5.94.0-1
brotli 1.0.9-8
btrfs-progs 5.18-1
bubblewrap 0.6.2-1
bzip2 1.0.8-4
ca-certificates 20210603-1
ca-certificates-mozilla 3.79-1
ca-certificates-utils 20210603-1
cabextract 1.9.1-2
cairo 1.17.6-2
cantarell-fonts 1:0.303.1-1
cblas 3.10.1-1
ccls 0.20210330-5
cdparanoia 10.2-8
cemu 1.26.2-6
clang 13.0.1-2
cmatrix 2.0-2
compiler-rt 13.0.1-1
confuse 3.3-3
conky 1.12.2-2
coreutils 9.1-1
cpio 2.13-2
cronie 1.6.1-1
cryptsetup 2.4.3-2
curl 7.83.1-1
dav1d 1.0.0-1
db 5.3.28-5
dbus 1.14.0-1
dbus-glib 0.112-2
dbus-python 1.2.18-3
dconf 0.40.0-1
desktop-file-utils 0.26-2
device-mapper 2.03.16-1
diffutils 3.8-1
discount 2.2.7-2
djvulibre 3.5.28-3
dmenu 5.1-1
dmenu-bluetooth r35.4abb205-1
dmraid 1.0.0.rc16.3-13
dnssec-anchors 20190629-3
dosfstools 4.2-2
double-conversion 3.2.0-1
draco 1.5.1-2
e2fsprogs 1.46.5-3
efibootmgr 17-2
efivar 38-2
egl-wayland 2:1.1.9+r3+g582b2d3-1
eglexternalplatform 1.1-2
ell 0.50-1
embree 3.13.3-2
enca 1.19-4
enchant 2.3.3-1
exiv2 0.27.5-3
exo 4.16.3-1
expat 2.4.8-1
faad2 2.10.0-1
fakeroot 1.29-1
faudio 22.05-1
feh 3.8-2
ffmpeg 2:5.0-7
ffmpeg4.4 4.4.1-5
fftw 3.3.10-2
file 5.41-1
filesystem 2021.12.07-1
findutils 4.9.0-1
flac 1.3.4-2
flex 2.6.4-3
fmt 8.1.1-2
fontconfig 2:2.14.0-1
fontforge 20220308-1
frameworkintegration 5.94.0-1
freeglut 3.2.2-2
freetype2 2.12.1-1
fribidi 1.0.12-1
fuse-common 3.11.0-1
fuse2 2.9.9-4
gawk 5.1.1-1
gc 8.2.0-3
gcc 12.1.0-2
gcc-libs 12.1.0-2
gcr 3.41.0-2
gd 2.3.3-4
gdbm 1.23-1
gdk-pixbuf2 2.42.8-1
gegl 0.4.36-3
gettext 0.21-2
ghostscript 9.56.1-1
giflib 5.2.1-2
gimp 2.10.30-3
git 2.36.1-1
github-cli 2.11.3-1
glava 1.6.3-2
glew 2.2.0-3
glfw-x11 3.3.7-1
glib-networking 1:2.72.0-1
glib2 2.72.1-1
glibc 2.35-5
glslang 11.9.0-1
glu 9.0.2-3
gmp 6.2.1-2
gnome-desktop 1:42.1-1
gnome-desktop-common 1:42.1-1
gnu-free-fonts 20120503-8
gnupg 2.2.35-2
gnutls 3.7.5-2
go 2:1.18.2-1
gobject-introspection-runtime 1.72.0-1
godot 3.4.4-2
google-chrome 102.0.5005.61-1
gpgme 1.17.1-1
gpm 1.20.7.r38.ge82d1a6-4
gptfdisk 1.0.9-1
graphene 1.10.8-1
graphite 1:1.3.14-2
graphviz 3.0.0-1
grep 3.7-1
groff 1.22.4-7
grub 2:2.06-5
gsettings-desktop-schemas 42.0-1
gsfonts 20200910-2
gsm 1.0.19-1
gst-libav 1.20.2-1
